Alpha, α
Alpha upper, Α
Beta, β
Beta upper, Β
Gamma, γ
Gamma upper, Γ
Delta, δ
Delta upper, Δ
Epsilon, ϵ
Epsilon upper, E
Zeta, ζ
Zeta upper, Z
Eta, η
Eta upper, H
Theta, θ
Theta upper, Θ
Iota, ι
Iota upper, I
Kappa, κ
Kappa upper, K
Lambda, λ
Lambda upper, Λ
Mu, μ
Mu upper, M
Nu, ν
Nu upper,N
Xi, ξ
Xi upper, Ξ
Omicron, o
Omicron upper, O
Pi, π
Pi upper, Π
Rho, ρ
Rho upper, P
Sigma, σ
Sigma upper, Σ
Tau, τ
Tau upper, T
upsilon, υ
upsilon upper, ϒ
Phi, ϕ
Phi upper, Φ
Chi, χ
Chi upper, X
Psi, ψ
Psi upper, Ψ
Omega, ω
Omega upper, Ω
kilogram per meter squared, kg / m²
Squared, ²
Trademark, ™
TM, ™
Copyright, ©
Registered, ®
Thorn, 	þ
Thorn upper, Þ
Diameter, ⌀
Plus or Minus, ±
Square Root, √
Approximatly Equal to, ≅
Proportional to, ∝
Not Equal to, ≠
Less than or equal to, ≤
Greater than or equal to, ≥
Infinity, ∞
Integral, ∫
Partial Differential, ∂
Degree, °
Angle, ∠
Right Angle, ∟
Half, ½
One-Third, ⅓
One-Fourth, ¼
Two-Third, ⅔
Three-Fourth, ¾
Zero, ⁰
One, ¹
Two, ²
Three, ³
Four, ⁴
Five, ⁵
Six, ⁶
Seven, ⁷
Eight, ⁸
Nine, ⁹
Minus, ⁻
Plus, ⁺
The answer to life the universe and everything, 42
Euro, €
Ruble, ₽
Caret, ^
