Alpha, α
Alpha uppercase, Α
Beta, β
Beta uppercase, Β
Gamma, γ
Gamma uppercase, Γ
Delta, δ
Delta uppercase, Δ
Epsilon, ϵ
Epsilon uppercase, E
Zeta, ζ
Zeta uppercase, Z
Eta, η
Eta uppercase, H
Theta, θ
Theta uppercase, Θ
Iota, ι
Iota uppercase, I
Kappa, κ
Kappa uppercase, K
Lambda, λ
Lambda uppercase, Λ
Mu, μ
Mu uppercase, M
Nu, ν
Nu uppercase,N
Xi, ξ
Xi uppercase, Ξ
Omicron, o
Omicron uppercase, O
Pi, π
Pi uppercase, Π
Rho, ρ
Rho uppercase, P
Sigma, σ
Sigma uppercase, Σ
Tau, τ
Tau uppercase, T
Upsilon, υ
Upsilon uppercase, ϒ
Phi, ϕ
Phi uppercase, Φ
Chi, χ
Chi uppercase, X
Psi, ψ
Psi uppercase, Ψ
Omega, ω
Omega uppercase, Ω
kilogram per meter squared, kg / m²
Squared, ²
Trademark, ™
TM, ™
Copyright, ©
Registered, ®
Thorn, 	þ
Thorn uppercase, Þ
Diameter, ⌀
Plus or Minus, ±
Square Root, √
Approximatly Equal to, ≅
Proportional to, ∝
Not Equal to, ≠
Less than or equal to, ≤
Greater than or equal to, ≥
Infinity, ∞
Integral, ∫
Partial Differential, ∂
Degree, °
Angle, ∠
Right Angle, ∟
Half, ½
One-Third, ⅓
One-Fourth, ¼
Two-Third, ⅔
Three-Fourth, ¾
Zero, ⁰
One, ¹
Two, ²
Three, ³
Four, ⁴
Five, ⁵
Six, ⁶
Seven, ⁷
Eight, ⁸
Nine, ⁹
Minus, ⁻
Plus, ⁺
The answer to life the universe and everything, 42
Euro, €
Ruble, ₽
